# 코스 메타데이터 수기 보정 레이어
#
# build-data.mjs 는 GPX <trk><name> 에서 자동 추출한 값을 이 파일로 "덮어쓴다".
# 따라서 재빌드해도 여기 적은 값이 유지된다. 빈 칸은 덮어쓰지 않는다(자동값 유지).
#
# '#' 로 시작하는 줄과 빈 줄은 무시된다.
#
# 자동 추출 현황: 90개 본 코스 중 75개가 `###-시작~종료` 형식으로 파싱됨.
#                연쇄 보정(앞 코스 종점 = 다음 코스 시점)으로 4개 추가 확보.
#                아래는 그래도 비어 있던 항목 중 근거가 확인된 것만 채웠다.
#
# ── 채운 근거 ──
# region 부산      : 좌표가 부산 범위. gpsroute.site 도 1~5코스를 부산광역시로 표기.
# region 남해군    : 36~46코스 좌표가 전부 남해도·창선도 범위(34.71~34.95N, 127.81~128.07E).
#                    이름에 병기된 '남해바래길'은 남해군의 트레일이다.
# 90코스 end       : GPX 이름에 '해남군 송지면 송호리 땅끝탑[서해안길 시작]' 이라고 명시돼 있고,
#                    실제 종료 좌표가 땅끝탑에서 604m 이내다.
# 62/63 접합부     : 원본에 '부용교'(62코스)와 '부굥교'(63코스) 두 표기가 있다. '부굥교'는 오타다.
#                    접합부 자동 통일은 더 긴 쪽을 고르는데, 하필 오타난 쪽이 '회정리'를 포함해
#                    더 길었다. 여기서 바로잡는다.
#
# ── 의도적으로 비워둔 것 ──
# 1코스 start      : GPX 이름에 지점명이 없다. 통상 '오륙도해맞이공원'으로 알려져 있으나
#                    내가 확인할 수 있는 근거가 없어 추측으로 채우지 않았다. 직접 채워도 된다.
# 2,3코스, 37~45코스 start/end : 지점명 정보가 원본에 아예 없다.
#                    연속 공백 구간의 내부라 연쇄 보정으로도 메울 수 없다.
#                    비워두면 앱에 '지점명 없음'으로 표시된다.
#
# ── 열 설명 ──
# id            코스 번호 (17-1 처럼 임시노선도 가능)
# name          코스 이름 (비우면 "17코스")
# region        시·군 (사이드바 목록과 지역 그룹에 쓰인다)
# start / end   시점 · 종점 지점명
# startAddr     시점 주소        endAddr      종점 주소
# startAccess   시점 교통편      endAccess    종점 교통편
# difficulty    비우면 자동 계산 (거리 + 상승/100)
# alias         병기 명칭 (예: 남해바래길 03코스 동대만길)
# note          기타 메모
#
# ── 두 가지만 기억하면 된다 ──
# 1) 값에 콤마가 있으면 반드시 "..." 로 감싼다.
#    교통편이 대표적이다:  "경성대부경대역 24번 버스, 오륙도스카이워크 하차"
#    감싸지 않으면 콤마 뒤가 조용히 잘린다.
# 2) 접합부는 한 번만 적으면 된다.
#    1코스 end 에 "부산역" 을 적으면 2코스 start 는 자동으로 채워진다
#    (주소·교통편도 같이 따라간다). 89개 접합부를 두 번 적을 필요가 없다.
#
id,name,region,start,end,startAddr,startAccess,endAddr,endAccess,difficulty,alias,note
72,,전남 고흥군,도덕면 용동리 고흥만방조제공원,두원면 대전리 대전해수욕장,전남 고흥군 도덕면 고흥만로 1140,고흥공용터미널에서 고흥-녹동 버스 이용 후 금호 정류장 하차,전남 고흥군 두원면 두원로 1305,대전해수욕장 정류장에서 고흥-두원 버스 이용하여 고흥공용버스터미널 하차,,,
73,,전남 고흥군,두원면 대전리 대전해수욕장,과역면 노일리 내로마을회관 앞,전남 고흥군 두원면 두원로 1305,고흥공용터미널에서 고흥-두원 버스 이용 후 대전해수욕장 정류장 하차. 배차간격 유의,전남 고흥군 과역면 내로당날길 3,내로 정류장에서 과역-도야 버스 이용하여 과역버스터미널 하차. 배차간격 유의,,,
74,,전남 고흥군,과역면 노일리 내로마을회관 앞,남양면 남양리 남양버스정류장,전남 고흥군 과역면 내로당날길 3,고흥공용터미널에서 고흥-벌교 버스 이용하여 과역버스터미널에서 하차. 과역-도야 버스 환승하여 내로 정류장 하차,전남 고흥군 남양면 고흥로 3598,"남양 정류장 벌교-고흥, 벌교-남양 버스 이용하여 벌교역 하차. 배차간격 유의",,,
75,,전남 고흥군,남양면 남양리 남양버스정류장,대서면 안남리 신기수문동 버스정류장,전남 고흥군 남양면 고흥로 3598,"고흥고용터미널에서 고흥-벌교, 벌교-부도 버스 이용 후 남양 정류장 하차. 배차간격 유의",전남 고흥군 대서면 동서로 1015,"신기수문동 정류장에서 벌교-신기,화천-신기 버스 이용하여 벌교역 하차. 배차간격 유의",,,
76,,전남 고흥군,대서면 안남리 신기수문동 버스정류장,보성군 득량면 비봉리 득량만바다낚시공원 입구,전남 고흥군 대서면 동서로 1015,벌교역에서 벌교-신기 버스 이용하여 신기수문동 정류장 하차. 배차간격 유의,,,,,공식 코스 경계와 다름 (종점 1593m) — 지점명은 GPX 기준 유지
77,,전남 보성군,보성군 득량면 비봉리 득량만바다낚시공원 입구,화천면 동유리 율포솔밭해변 입구,,,전남 보성군 회천면 동율리 539-1,"율포 정류장에서 보성-군학, 보성-벌교, 보성-벽교, 보성-수문 등 버스 이용하여 보성버스터미널 하차. 배차시간 유의",,,공식 코스 경계와 다름 (시점 1592m) — 지점명은 GPX 기준 유지
78,,전남 장흥군,화천면 동유리 율포솔밭해변 입구,용산면 덕암리 원등마을회관 앞,전남 보성군 회천면 동율리 539-1,"보성버스터미널에서 보성-천포, 보성-수문 등 버스 이용하여 율포 정류장 하차. 배차시간 유의",전남 장흥군 용산면 원등2길 2,"원등 정류장에서 장흥-용산, 장흥-관산 버스 이용하여 장흥시외버스터미널 하차. 배차시간 유의",,,
79,,전남 장흥군,용산면 덕암리 원등마을회관 앞,회진면 회진리 회진시외버스터미널,전남 장흥군 용산면 원등2길 2,"장흥시외버스터미널에서 장흥-관산, 장흥-섭곡, 장흥-부춘, 장흥-내안 버스 이용 후 원등 정류장 하차",전남 장흥군 회진면 회진로 425,회진시외버스터미널 이용,,,
80,,전남 장흥군,회진면 회진리 회진시외버스터미널,마량면 마량리 마량항,전남 장흥군 회진면 회진로 425,회진시외버스터미널 하차,전남 강진군 미량면 미항로 164,마량버스여객터미널 도보 10분 이내,,,
81,,전남 강진군,마량면 마량리 마량항,대구면 저두리 가우도 입구,전남 강진군 마량면 미항로 164,마량버스여객터미널 하차 후 도보 10분,전남 강진군 대구면 저두리 321,"상저마을 정류장에서 111-1, 111-2, 111-3 버스 등 다수 이용하여 강진버스여객터미널 하차",,,
82,,전남 강진군,대구면 저두리 가우도 입구,강진읍 목리 구목리교 서쪽,전남 강진군 대구면 저두리 321,,전남 강진군 강진읍 이학래길 1-13,,,,
83,,전남 강진군,강진읍 목리 구목리교 서쪽,도암면 향촌리 도암농협,전남 강진군 강진읍 이학래길 1-13,"강진버스여객터미널에서 강진-마량, 11-3, 80-1 버스 등 이용하여 목리입구 정류장 하차",전남 강진군 도암면 도암중앙로 85,도암버스여객터미널 이용,,,
84,,전남 강진군,도암면 향촌리 도암농협,신전면 사초리 사내방조제 북쪽 교차로,전남 강진군 도암면 도암중앙로 85,"강진버스여객터미널에서 115-4, 15-3, 강진-망호 버스 이용 후 도암정류장 하차",전남 강진군 신전면 사초리 3-10,"사초리 정류장에서 15-3, 15-5,115-4 버스 이용하여 강진버스여객터미널 하차",,,
85,,전남 해남군,신전명 사초리 사내방조제 북쪽 교차로,해남 남창정류소[달도],전남 강진군 신전면 사초리 3-10,"강진버스여객터미널에서 115-4, 15-7, 15-1 버스 이용 후 사초리 정류장 하차",전남 완도군 군외면 원동리 산75-4,해남종합버스터미널에서 남창정류소행 버스 도보 500m,,,
86,,전남 완도군,남창시외버스터미널 매표소 옆,완도읍 가용리 완도항 해조류센터,전라남도 해남군 북평면 남창리 253-2,남창시외버스터미널 코스 시작,전라남도 완도군 완도읍 가용리 1038,완도공용버스터미널 도보 10분,,,
87,,전남 완도군,완도읍 가용리 완도항 해조류센터,완도군 완도읍 대산리 청해포구 촬영장 입구,전남 완도군 완도읍 군내리 1443,완도공용버스터미널 하차,,,,,공식 코스 경계와 다름 (종점 2920m) — 지점명은 GPX 기준 유지
88,,전남 완도군,완도군 완도읍 대산리 청해포구 촬영장 입구,군외면 원동리 원동버스터미널,,,전남 완도군 군외면 청해진서로 2184,원동버스터미널 이용,,,공식 코스 경계와 다름 (시점 2920m) — 지점명은 GPX 기준 유지
89,,전남 해남군,군외면 원동리 원동버스터미널,송지면 서정리 미황사 천왕문,전남 완도군 군외면 청해진서로 2184,완도공용버스터미널에서 원동버스터미널행 버스 이용,전남 해남군 송지면 미황사길 164,미황사 정츄장에서 산정-해남 버스 이용하여 해남종합버스터미널 하차. 배차간격 유의,,,
90,,전남 해남군,송지면 서정리 미황사 천왕문,송지면 송호리 땅끝탑,전남 해남군 송지면 미황시길 164,해남버스정류장에서 해남-산정 버스 이용하여 미황사 하차. 배차간격 유의,전남 해남군 송지면 송호리 산 43-3,땅끝마을 정류장에서 사구미-해남 버스 이용하여 해남종합버스터미널 하차. 배차간격 유의,,,
17-1,17-1코스 (임시우회),경남 거제시,거제 고현,거제 옥포,,,,,,,17~19코스 임시우회노선
61-1,61-1코스 (우회),전남 순천시,,,,,,,,,순천만 흑두루미 보호기간(10월말~4월) 우회로
